TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,
NGUỒN VỐN,,,,,,,,,,,,,,,,,,,,,,,,
C. NỢ PHẢI TRẢ,"1,073,331,964,000,000","1,122,970,494,000,000","1,157,490,007,000,000","1,223,981,046,000,000","1,144,270,262,000,000","1,185,262,404,000,000","1,188,572,083,000,000","1,327,537,012,000,000","1,278,965,858,000,000","1,303,633,378,000,000","1,385,235,404,000,000","1,414,765,480,000,000","1,462,748,158,000,000","1,602,391,727,000,000","1,649,664,327,000,000","1,814,188,209,000,000","1,846,431,290,000,000","1,704,273,133,000,000","1,731,305,572,000,000","1,839,223,339,000,000","1,773,713,584,000,000",,"1,932,361,908,000,000","2,085,397,244,000,000"
I. Nợ ngắn hạn,"79,113,565,000,000","7,960,594,000,000","79,127,286,000,000","92,365,806,000,000","32,453,089,000,000","10,326,096,000,000","6,050,819,000,000","41,176,995,000,000","18,538,368,000,000","9,077,476,000,000","8,709,185,000,000","9,468,116,000,000","36,310,440,000,000","61,020,549,000,000","93,953,298,000,000","67,314,816,000,000","62,167,768,000,000","2,270,345,000,000","2,517,462,000,000","1,670,837,000,000","4,140,563,000,000",,"36,293,273,000,000","78,237,337,000,000"
1. Phải trả người bán ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
2. Người mua trả tiền trước ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
3. Thuế và các khoản phải nộp nhà nước,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải trả người lao động,,,,,,,,,,,,,,,,,,,,,,,,
5. Chi phí phải trả ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
6. Phải trả nội bộ ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,,,,,,,,,,,,,,,,,,
8. Doanh thu chưa thực hiện ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
9. Phải trả ngắn hạn khác,,,,,,,,,,,,,,,,,,,,,,,,
