Date,Open,High,Low,Close,Adj Close,Volume
2024-09-05,4250.0,4250.0,4180.0,4220.0,,359400.0
2024-09-08,4220.0,4250.0,4210.0,4220.0,,130800.0
2024-09-09,4230.0,4240.0,4140.0,4200.0,,440400.0
2024-09-10,4200.0,4210.0,4160.0,4210.0,,185000.0
2024-09-11,4220.0,4240.0,4200.0,4230.0,,343900.0
2024-09-12,4200.0,4230.0,4170.0,4200.0,,241100.0
2024-09-15,4200.0,4220.0,4170.0,4190.0,,262500.0
2024-09-16,4190.0,4200.0,4170.0,4170.0,,354200.0
2024-09-17,4200.0,4460.0,4200.0,4460.0,,1687000.0
2024-09-18,4650.0,4650.0,4260.0,4450.0,,893700.0
2024-09-19,4460.0,4530.0,4380.0,4430.0,,889700.0
2024-09-22,4410.0,4460.0,4300.0,4300.0,,485200.0
2024-09-23,4370.0,4540.0,4350.0,4470.0,,943700.0
2024-09-24,4480.0,4510.0,4450.0,4480.0,,710200.0
2024-09-25,4510.0,4540.0,4470.0,4490.0,,967000.0
2024-09-26,4470.0,4550.0,4470.0,4480.0,,618600.0
2024-09-29,4410.0,4460.0,4390.0,4410.0,,464000.0
2024-09-30,4410.0,4460.0,4380.0,4400.0,,793700.0
2024-10-01,4400.0,4400.0,4340.0,4360.0,,247600.0
2024-10-02,4380.0,4380.0,4270.0,4270.0,,689200.0
2024-10-03,4270.0,4300.0,4230.0,4250.0,,355700.0
2024-10-06,4250.0,4270.0,4200.0,4240.0,,461500.0
2024-10-07,4280.0,4320.0,4220.0,4300.0,,374700.0
2024-10-08,4320.0,4320.0,4250.0,4260.0,,224200.0
2024-10-09,4280.0,4350.0,4260.0,4290.0,,286900.0
2024-10-10,4330.0,4330.0,4250.0,4270.0,,226200.0
2024-10-13,4300.0,4300.0,4250.0,4300.0,,362300.0
2024-10-14,4280.0,4320.0,4250.0,4270.0,,515700.0
2024-10-15,4270.0,4330.0,4260.0,4330.0,,428400.0
2024-10-16,4330.0,4390.0,4250.0,4330.0,,833200.0
2024-10-17,4330.0,4500.0,4330.0,4380.0,,1123800.0
2024-10-20,4400.0,4400.0,4340.0,4340.0,,297500.0
2024-10-21,4340.0,4340.0,4270.0,4310.0,,445200.0
2024-10-22,4290.0,4330.0,4280.0,4310.0,,216700.0
2024-10-23,4290.0,4340.0,4280.0,4280.0,,156400.0
2024-10-24,4300.0,4310.0,4250.0,4290.0,,332100.0
2024-10-27,4290.0,4310.0,4250.0,4300.0,,235600.0
2024-10-28,4300.0,4360.0,4260.0,4330.0,,211600.0
2024-10-30,4610.0,4610.0,4400.0,4400.0,,1169000.0
2024-10-31,4400.0,4400.0,4290.0,4390.0,,512300.0
2024-11-03,4320.0,4370.0,4300.0,4330.0,,320900.0
2024-11-05,4390.0,4480.0,4350.0,4440.0,,981000.0
2024-11-06,4480.0,4500.0,4410.0,4470.0,,1204100.0
2024-11-07,4470.0,4470.0,4360.0,4400.0,,368400.0
2024-11-10,4400.0,4500.0,4390.0,4460.0,,1411900.0
2024-11-11,4530.0,4530.0,4320.0,4340.0,,1360400.0
2024-11-12,4360.0,4360.0,4200.0,4220.0,,2311600.0
2024-11-13,4220.0,4250.0,4180.0,4200.0,,1098200.0
2024-11-14,4200.0,4210.0,4140.0,4170.0,,1040500.0
2024-11-17,4170.0,4190.0,4130.0,4180.0,,631900.0
2024-11-18,4180.0,4180.0,4120.0,4140.0,,469200.0
2024-11-19,4140.0,4210.0,4110.0,4150.0,,412700.0
2024-11-20,4150.0,4200.0,4150.0,4160.0,,154200.0
2024-11-21,4200.0,4200.0,4150.0,4150.0,,286700.0
2024-11-24,4140.0,4180.0,4140.0,4160.0,,269600.0
2024-11-25,4170.0,4210.0,4160.0,4180.0,,282900.0
2024-11-26,4180.0,4250.0,4160.0,4180.0,,360200.0
2024-11-27,4180.0,4210.0,4170.0,4200.0,,299600.0
2024-11-28,4200.0,4200.0,4180.0,4180.0,,262600.0
2024-12-01,4160.0,4200.0,4160.0,4170.0,,278800.0
2024-12-02,4180.0,4190.0,4160.0,4160.0,,282100.0
2024-12-03,4160.0,4250.0,4150.0,4180.0,,502400.0
2024-12-04,4200.0,4220.0,4150.0,4220.0,,454800.0
2024-12-05,4250.0,4270.0,4190.0,4190.0,,434100.0
2024-12-08,4190.0,4250.0,4190.0,4210.0,,532700.0
2024-12-09,4220.0,4250.0,4200.0,4220.0,,439700.0
2024-12-10,4240.0,4240.0,4200.0,4210.0,,401800.0
2024-12-11,4210.0,4230.0,4200.0,4210.0,,400400.0
2024-12-12,4220.0,4400.0,4220.0,4280.0,,1345700.0
2024-12-15,4280.0,4310.0,4230.0,4250.0,,283800.0
2024-12-16,4150.0,4230.0,4150.0,4200.0,,958000.0
2024-12-17,4200.0,4210.0,4160.0,4200.0,,698400.0
2024-12-18,4200.0,4200.0,4150.0,4180.0,,423400.0
2024-12-19,4190.0,4200.0,4170.0,4190.0,,269600.0
2024-12-22,4190.0,4240.0,4180.0,4220.0,,573600.0
2024-12-23,4290.0,4290.0,4160.0,4210.0,,486600.0
2024-12-24,4230.0,4260.0,4190.0,4230.0,,484400.0
2024-12-25,4240.0,4360.0,4240.0,4270.0,,790500.0
2024-12-26,4260.0,4290.0,4220.0,4270.0,,472000.0
2024-12-29,4260.0,4260.0,4200.0,4210.0,,360800.0
