,company_id,quarter,P,EPS,D/E,SIZE
4012,SAM,2016-10-01,-0.574069079496149,-0.09246722474085989,-0.23922461868707123,0.3302690533398608
4013,SAM,2017-01-01,-0.5744330700085974,-0.09246721743335115,-0.2457114546222072,0.3282477419172357
4014,SAM,2017-04-01,-0.5750953687331078,-0.09246721860416747,-0.20273130576713477,0.3938079426749554
4015,SAM,2017-07-01,-0.5748484049602574,-0.09246722478123286,-0.20533415469938782,0.3894353176374682
4016,SAM,2017-10-01,-0.5735503416768752,-0.09246721371903732,-0.19194646409643676,0.44544023254944676
4017,SAM,2018-01-01,-0.5733392002815009,-0.09246721674701056,-0.1819978116810214,0.46792001640893766
4018,SAM,2018-04-01,-0.5709575372611123,-0.09246722296444893,-0.15721386004312352,0.5109549320968385
4019,SAM,2018-07-01,-0.5686998872793955,-0.09246722389302738,-0.12956995093149726,0.542465366610163
4020,SAM,2018-10-01,-0.5695216289652585,-0.09246721484948066,-0.1466482320031192,0.5375346611676123
4021,SAM,2019-01-01,-0.5697652545853269,-0.09246722219736236,-0.14542875298669605,0.5395354364652188
4022,SAM,2019-04-01,-0.5680453226815306,-0.09246722340855167,-0.11246784008394348,0.5773027464200039
4023,SAM,2019-07-01,-0.5649984559544445,-0.09246722227810833,-0.13009457402427133,0.5550793823227769
4024,SAM,2019-10-01,-0.5656534807727533,-0.0924672152935834,-0.13976057962227975,0.5588507348221164
4025,SAM,2020-01-01,-0.5658837074610797,-0.09246722389302738,-0.1266051883874855,0.5744297456121614
4026,SAM,2020-04-01,-0.5613610436349081,-0.09246722308556785,-0.09655449219136086,0.6077152271588805
4027,SAM,2020-07-01,-0.5491729345276273,-0.09246721747372412,-0.1398306727161236,0.666229563638299
4028,SAM,2020-10-01,-0.5423975538887259,-0.09246721662589162,-0.19238504824393937,0.6101782044473807
4029,SAM,2021-01-01,-0.5388383355809853,-0.09246722304519488,-0.2638809348010873,0.6606260069585657
4030,SAM,2021-04-01,-0.5359151413149894,-0.09246722243960023,-0.2015907286764185,0.7553081375297186
4031,SAM,2021-07-01,-0.5535645090273104,-0.09246721832155663,-0.20273728649093872,0.7605667420895977
4032,SAM,2022-01-01,-0.564045058822375,-0.09246722352967059,-0.18142839442366,0.8017848118680242
4033,SAM,2022-04-01,-0.566797731144104,-0.09246722066318927,-0.0989272827689803,0.9028014444986258
4034,SAM,2022-07-01,-0.5668807526280732,-0.09246722328743273,-0.043129671602919216,0.9621831973103592
4035,SAM,2022-10-01,-0.5662062497324083,-0.09246722772846014,-0.21076687768074623,0.7637044783959372
4036,SAM,2023-01-01,-0.5669573953683362,-0.09246722308556785,-0.23726109040008186,0.7262862387640049
4037,SAM,2023-04-01,-0.5678489297316969,-0.09246722381228142,-0.24581902948966627,0.7141382634804804
4038,SAM,2023-07-01,-0.44502818242940184,-0.09246722324705976,-0.24563405225467005,0.7148439850259184
4039,SAM,2023-10-01,-0.4456429927812169,-0.09246722357004357,-0.25260414842093604,0.7050141262284014
4040,SAM,2024-01-01,-0.44608515406072335,-0.09246722171288665,-0.2544320719376781,0.7053545559333225
4041,SAM,2024-04-01,-0.4392698518749627,-0.09246721945199997,-0.24683929601659993,0.7196902704813714
4042,SAM,2024-07-01,-0.44389407352337673,-0.09246722365078952,-0.24763695428726668,0.7210136338956802
4043,SAM,2024-10-01,-0.444796943643616,-0.09246722199549749,-0.2727671658364817,0.6834133074672843
4044,SBT,2008-01-01,-0.23282752817887994,-0.09246720976248562,-0.314301272373712,-0.12502767404497936
4045,SBT,2011-01-01,-0.28323474857618336,-0.09246717132741204,-0.29269498596186555,0.047685874228028
4046,SBT,2012-01-01,-0.27042980876047423,-0.09246719385553291,-0.21618951708977155,0.12696612336394933
4047,SBT,2012-07-01,-0.21198556614240263,-0.0924671443178908,-0.21618951708977155,0.12696612336394933
4048,SBT,2013-01-01,-0.2325395703726994,-0.09246720798607466,-0.15348082564782048,0.25931062896058277
